title,genres,keywords,overview
Hellraiser,"Thriller, Horror","occult, gore, undead, surrealism, attic, seduction, supernatural, puzzle box, revenge, demon, ritual, stepmother, human sacrifice, cenobite, based on novel or book","After tinkering with a box he bought while abroad, sexual deviant Frank inadvertently opens a portal to hell, where fetish-demons led by Pinhead tear his body apart. When Frank’s brother and his wife move into his house, a skeletal Frank appears to his sister-in-law and asks her to supply him with corpses for his regeneration."
A Prayer for the Dying,"Crime, Thriller, Drama, Action","bomber, ira (irish republican army)",Jack Higgins' straightforward thriller about a guilt-ridden IRA bomber forced into one last job
"Sister, Sister","Romance, Thriller, Drama, Mystery","bed and breakfast (b&b), sibling relationship, swamp, murder","Sisters Charlotte and Lucy Bonnard live together in the gloomy Louisiana family mansion that they’ve turned into a boarding house. But when a mysterious young man enters their lives, the sisters are forced to confront their dark pasts."
The Principal,"Crime, Adventure, Drama, Action","school life, teacher, youth gang, resistance, drug trafficking","Burglary. Drugs. Assault. Rape. The students at Brandel High are more than new Principal Rick Latimer bargained for. Gangs fight to control the school using knives - even guns - when they have to. When Latimer and the head of security try to clean up the school and stop the narcotics trade, they run up against a teenage mafia. A violent confrontation on the campus leads to a deadly showdown with the drug dealer's gang, and one last chance for Latimer to save his career... and his life."
Fatal Attraction,"Thriller, Drama","extramarital affair, lawyer, obsessive relationship, married man, obsessive love, obsession, psychotic obsessions, every man's nightmare, executive, married couple, marriage crisis, female stalker, deceived wife, sexual obsession, stalker, one-night stand, obsessed with a man, stalking, new york city","For Dan Gallagher, life is good. He is on the rise at his New York law firm, is happily married to his wife, Beth, and has a loving daughter. But, after a casual fling with a sultry book editor named Alex, everything changes. Jilted by Dan, Alex becomes unstable, her behavior escalating from aggressive pursuit to obsessive stalking. Dan realizes that his main problem is not hiding his affair, but rather saving himself and his family."
The Pick-up Artist,"Crime, Romance, Comedy","womanizer, debt, alcoholic father",A womanizer meets his match when he falls for the daughter of a gambling addict who is in debt to the mob.
Tough Guys Don't Dance,"Crime, Thriller, Drama, Mystery, Comedy","massachusetts, cancer, neo-noir, amnesia, police chief, wealth, murder","Writer, ex-con and 40-something bottle-baby Tim Madden, who is prone to black-outs, awakens from a two-week bender to discover a pool of blood in his car."
From a Whisper to a Scream,"Horror, Comedy","librarian, necrophilia, freak show, anthology, civil war, narration, voodoo","The uncle of an executed murderess relates four stories of his hometown, Oldfield, to a reporter. In the first, an elderly man pursues a romance with a younger woman, even to the grave and beyond. In the second, a wounded man on the run from creditors is rescued by a backwoods hermit who holds the secret to eternal life. In the third, a glass-eating carny pays the ultimate price for looking for love on the outside. And in the fourth, a group of Civil War soldiers are held captive by a household of orphans with strange intentions for them."
The Princess Bride,"Romance, Adventure, Family, Fantasy, Comedy","story within the story, romantic, fictitious country, pirate, grandfather grandson relationship, boat chase, hilarious, hidden identity, wedding, miracle, evil prince, impersonation, giant man, wrestling, revenge, screwball, dream, sword fight, battle of wits, swashbuckler, narration, based on novel or book","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."
The Last Emperor,"Drama, History","drug addiction, biography, suicide, manchuria, autobiography, dynasty, buddhism, coup d'etat, teacher, suicide attempt, revolution, lgbt interest, beijing, world war ii, japanese occupation of china, 1930s, arranged marriage, emperor, 1920s, dowager, communism, decadence, 1910s, based on true story, opium, war on drugs, experiment, china, 1950s, reeducation camp, isolation, war crimes, becoming an adult, 1940s","A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic."
Baby Boom,"Romance, Drama, Comedy","relationship problems, manhattan, yuppie, business woman, vermont, orphan, baby, adoptive mother, business consultant, starting over, career woman, new york city",The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.
The Sicilian,"Crime, Thriller, Drama","sicily, sicilian, sicilian mafia, italy","Egocentric bandit Salvatore Giuliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence."
Three O'Clock High,Comedy,"bully, bullying","Nerdy high schooler Jerry Mitchell is assigned to write an article for the school paper about the infamous new delinquent transfer student, Buddy Revell. When Jerry accidentally invades Buddy's personal space and touches him, Buddy challenges Jerry to an afterschool fight in the parking lot, which Jerry tries to avoid at all costs."
Someone to Watch Over Me,"Romance, Thriller, Drama","marriage, detective, socialite, murder, new york city","Claire Gregory, an upper class New York personality, witnesses a murder in a luxurious nightclub. Detective Mike Keegan, recently promoted, is assigned to protect her."
Prince of Darkness,Horror,"priest, satan, research, obsession, time travel, dream, demon, church, anti-christ, los angeles, satanic cult, artifact, secret society, california","A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world."
No Man's Land,"Crime, Drama, Action","car thief, rookie cop","A rookie cop goes undercover to infiltrate a gang of car thieves led by smooth and charming Ted. The rookie becomes too involved and starts to enjoy the thrill and lifestyle of the game, and becomes romanticly involved with the leaders sister."
The Hidden,"Thriller, Science Fiction, Horror","surrealism, human body, fbi, heavy metal, alien life-form, parasite, mind control, robbery","When average, law-abiding citizens suddenly turn to a life of hedonistic behavior and violent crime, Detective Tom Beck is tasked with helping young FBI agent Lloyd Gallagher determine the cause."
